play order,title,artist,track.external_urls.spotify,track.duration_ms,track.popularity,track.track_number,track.uri,track.album.name,track.album.release_date
305,Things I Never Say,The Headboys,https://open.spotify.com/track/7emFHLsEtgZtf8TB9FKpQj,213893,1,4,spotify:track:7emFHLsEtgZtf8TB9FKpQj,The Lost Album,2013-12-01
306,Roxanne,The Police,https://open.spotify.com/track/3EYOJ48Et32uATr9ZmLnAo,191946,77,3,spotify:track:3EYOJ48Et32uATr9ZmLnAo,Outlandos D'Amour (Remastered 2003),1978-11-02
307,Young Lust,Pink Floyd,https://open.spotify.com/track/3xGJuHvSxFJxxYlHj5BIoT,209956,62,9,spotify:track:3xGJuHvSxFJxxYlHj5BIoT,The Wall,1979-11-30
308,"Theme From ""The Warriors"" - From ""The Warriors"" Soundtrack",Barry Vorzon,https://open.spotify.com/track/3DRcy1faUJgUNk0eNs7GKU,237866,40,1,spotify:track:3DRcy1faUJgUNk0eNs7GKU,The Warriors Original Motion Picture Soundtrack,2005-01-01
309,Still...You Turn Me On - 2014 Remastered Version,"Emerson, Lake & Palmer",https://open.spotify.com/track/5RhGCgIZpVn4yP3ixrcjff,172359,38,21,spotify:track:5RhGCgIZpVn4yP3ixrcjff,The Anthology,2016-07-29
310,Suite Madame Blue,Styx,https://open.spotify.com/track/0RTNuBiDbHMCuUvt4FK4hR,391720,38,13,spotify:track:0RTNuBiDbHMCuUvt4FK4hR,Greatest Hits,1995-01-01
311,Cathedral,"Crosby, Stills & Nash",https://open.spotify.com/track/5cWLZF2W2aMvvnMrA296TS,317626,38,18,spotify:track:5cWLZF2W2aMvvnMrA296TS,Greatest Hits,2005-03-14
312,Classical Gas,Mason Williams,https://open.spotify.com/track/48oT10cTda4pZUlYfqxlPR,184066,44,1,spotify:track:48oT10cTda4pZUlYfqxlPR,Rhino Hi-Five: Mason Williams,2005-10-18
313,Build Me Up Buttercup,The Foundations,https://open.spotify.com/track/6sPOmDulFtLzfX25zICNrC,177533,74,7,spotify:track:6sPOmDulFtLzfX25zICNrC,The Foundations,1968-01-01
314,Every Time I Think of You,The Babys,https://open.spotify.com/track/76fFzThA0KjAea2BdVlHnD,239160,49,2,spotify:track:76fFzThA0KjAea2BdVlHnD,Head First,1978-01-01
315,Hello It's Me,Todd Rundgren,https://open.spotify.com/track/3gHFKiDanj4d2rqgHlRFFc,264093,56,22,spotify:track:3gHFKiDanj4d2rqgHlRFFc,Something / Anything?,1972
316,you're like the wind,prism,,,,,,,
317,"Call Me, Tell Me",American Flyer,https://open.spotify.com/track/3vX1IATWFvN66kixEAIAT0,156093,5,11,spotify:track:3vX1IATWFvN66kixEAIAT0,American Flyer,2014-09-22
